,ivtU_max,ivtU_mean,ivtV_max,ivtV_mean,rain,year
1979-01-10,28.6551582086,44.7563397004,54.0680283722,23.9058363237,30.2,1979
1979-01-11,46.1672427742,49.2498921216,-111.047261654,-42.0158118156,11.5,1979
1979-03-05,92.9183152402,76.5934793529,2.16199824905,-8.68945433767,2.7,1979
1979-04-26,10.0341944338,4.54009797329,-117.792040539,-77.2857033194,16.9,1979
1979-04-27,118.685085729,65.7946708005,-517.673141829,-235.235293693,35.1,1979
1979-05-01,279.298565124,153.629033406,-348.70706051,-99.2826682615,33.5,1979
1979-05-09,96.6272873146,63.0693628767,-62.4938582511,-15.3886561434,3.0,1979
1979-05-10,247.276717101,160.540344099,-270.041400002,-153.743898327,7.1,1979
1979-05-12,72.2653194766,53.9487842369,-14.6354081918,-19.7571762849,11.0,1979
1979-05-14,112.927908202,78.1505955555,-40.339903034,-38.7992882739,18.1,1979
1979-05-15,378.217884898,201.507623055,-324.041585337,-148.346101095,14.4,1979
1979-05-16,269.406208916,132.293088395,-109.195726885,-108.178253424,13.5,1979
1979-05-17,228.346639871,195.231360077,-252.567411808,-129.268970049,12.4,1979
1979-05-20,285.684558567,169.639216827,110.461398521,46.4351650119,10.3,1979
1979-05-21,379.424162083,203.762662279,-70.1666904672,-47.0991027193,2.0,1979
1979-05-24,190.420165846,138.392179132,104.603800668,57.5179753429,4.5,1979
1979-05-27,477.783982408,224.733367595,112.504116973,89.6077802583,13.2,1979
1979-06-01,27.6615702545,19.8640642109,-19.4415027767,-5.56568001454,7.2,1979
1979-06-02,196.692843797,101.846811344,-160.967576911,-78.8140338954,20.9,1979
1979-06-17,66.779622687,46.6858400374,155.28883568,78.5527621651,1.6,1979
1979-06-18,210.430941042,145.054943166,-235.38170776,-108.292126167,14.0,1979
1979-06-22,131.745261047,43.7315704892,15.637121357,37.6810700124,15.5,1979
1979-07-12,167.722700792,105.374422579,73.7853253994,24.2629135452,8.5,1979
1979-07-13,200.265523154,119.436585817,18.2008942947,38.9144081875,3.1,1979
1979-07-16,32.663272925,15.9354180773,-9.25667070284,4.21564949454,7.5,1979
1979-07-17,262.923684224,125.070177613,-107.694570825,-73.4716855042,4.2,1979
1979-07-22,198.984813576,125.068483033,22.0074253186,27.3221007379,8.9,1979
1979-07-23,314.514214228,226.311412055,-383.374182314,-187.481426085,22.5,1979
1979-07-24,314.514214228,226.506422501,-383.374182314,-231.989065941,7.7,1979
1979-07-25,161.339189977,160.434886974,-557.637061499,-368.145600224,64.1,1979
1979-07-26,279.855994091,253.545096044,-785.812320158,-486.49405256,3.3,1979
1979-07-27,252.709866552,142.226326892,-381.828828349,-329.256572963,56.9,1979
1979-07-28,399.408993252,292.302137733,-841.771770172,-513.898881787,5.6,1979
1979-07-29,301.080751912,246.183617278,-370.040701314,-322.554485061,19.5,1979
1979-07-30,380.893004081,207.393349803,-568.102178499,-317.875656432,11.9,1979
1979-07-31,198.966087234,125.637582931,-417.389280118,-297.595598584,14.0,1979
1979-08-01,131.367942659,147.030592804,-241.838084238,-154.669533287,1.7,1979
1979-08-02,143.425444382,67.7082408529,-26.5986936517,-58.7554208135,9.2,1979
1979-08-03,112.862392388,81.9575594928,-231.129578561,-165.992560292,34.9,1979
1979-08-04,442.240151161,224.122281333,-235.922167978,-130.42749278,2.1,1979
1979-08-05,242.946599597,180.824815105,-60.0652057616,-54.1348322755,10.0,1979
1979-08-19,176.523366886,132.516781031,-78.8699422888,-60.1946494978,1.6,1979
1979-08-20,280.29300655,193.417451453,-381.509022033,-229.802475593,36.0,1979
1979-08-22,145.450313379,87.8499960871,-55.5009495854,-37.0418464897,1.2,1979
1979-08-23,402.777676517,260.355739942,-221.894432083,-101.92200998,22.0,1979
1979-08-24,475.510261011,405.800997255,-175.008924541,-160.760615189,3.5,1979
1979-08-25,292.133931027,244.711962369,-115.514355122,-41.140039511,1.0,1979
1979-08-26,395.416014996,206.308917584,-250.179629484,-88.0905428117,21.2,1979
1979-08-28,144.702185849,90.1523869651,34.0029845162,46.6033789494,11.0,1979
1979-08-29,584.652551469,278.881843737,-105.132621311,-23.0203580415,62.5,1979
1979-08-30,697.185670801,560.611321848,-174.389701301,-103.429246098,1.0,1979
1979-08-31,396.031052029,141.143088353,-10.9764099216,32.6745271673,4.0,1979
1979-09-01,57.6406761705,51.4623306868,36.001113995,24.5729423978,6.7,1979
1979-09-02,190.030439392,86.2147571127,82.0141568228,27.5604078199,1.3,1979
1979-09-09,33.3401200939,17.0760123853,-89.2182868493,-78.1989810265,4.5,1979
1979-09-10,224.084716895,120.278462198,-136.799790321,-99.9441486948,4.4,1979
1979-09-13,47.2648126744,33.7899643405,57.7415731206,15.3929196281,16.0,1979
1979-09-14,234.725409312,136.579674637,-77.3504877722,-63.1057710742,4.8,1979
1979-09-18,-7.34506618881,4.12465992717,64.0124618775,44.3111545607,4.3,1979
1979-09-19,152.900666954,93.0441705321,3.11146221168,13.9633255202,9.0,1979
1979-09-21,130.607745354,95.9519529496,42.3985526402,21.299893195,1.2,1979
1979-09-22,521.313765732,316.200826563,-231.340242462,-80.256468609,30.4,1979
1979-09-24,226.174251849,147.045282704,-57.3249297797,-54.161537534,8.5,1979
1979-09-25,144.871492641,98.2561415465,-71.3010795774,-79.3315739251,17.4,1979
1979-09-27,36.2641212094,25.3086738559,32.56033721,19.9549497096,1.3,1979
1979-09-30,21.0990418483,17.3238884407,-42.3631459595,2.86353664813,5.8,1979
1979-10-03,24.9326453015,14.3483732506,7.29521224439,-0.661211303219,1.0,1979
1979-10-04,44.6707232598,35.5845763964,-24.7859849838,-15.329272273,2.0,1979
1979-10-21,100.790914452,67.3907268727,31.1774472564,34.3716731796,2.6,1979
1979-10-23,207.032651762,140.320764199,39.2047214528,39.9981961183,6.4,1979
1979-10-26,263.596463701,126.096448333,-59.4771937575,-30.7725725203,1.2,1979
1979-10-28,106.232066657,39.5838824191,-36.3153775852,24.7782608986,4.3,1979
1979-10-29,129.337200321,107.930373182,2.08726078374,-17.6233826413,2.7,1979
1979-10-30,142.310445321,102.862599225,88.5314551456,39.4467589307,1.1,1979
1979-11-06,276.988221236,151.755645581,-220.438182931,-133.066516584,22.7,1979
1979-11-11,154.030822168,98.7303031639,-260.587825365,-117.305404412,13.4,1979
